avg(Critic_Score),sum(Critic_Count),sum(Global_Sales_Unscaled),Genre_Cleaned
41.79742521772056,48191,1699520,Action
38.58059626073775,23243,1300630,Sports
52.50471698113208,29824,1034830,Shooter
39.75902602854744,21765,922380,Role-Playing
39.253632760898284,10892,822070,Platform
23.12211466865227,10451,779890,Misc
42.20263424518744,15129,716860,Racing
36.38559322033898,10727,438720,Fighting
30.486862442040184,6442,382450,Simulation
29.47422680412371,3718,235200,Puzzle
24.688650306748468,5876,217390,Adventure
30.540178571428573,5778,166720,Strategy
0,0,2390,
