sum(NA_Sales_Unscaled),sum(JP_Sales_Unscaled),sum(EU_Sales_Unscaled),sum(Other_Sales_Unscaled),sum(Global_Sales_Unscaled),Genre_Cleaned
857720,152800,506680,181810,1699520,Action
666950,132770,368680,131960,1300630,Sports
581440,37670,312520,103140,1034830,Shooter
328480,347950,187030,59270,922380,Role-Playing
442270,130320,198510,50940,822070,Platform
396070,101810,208910,72980,779890,Misc
353190,56160,232280,75250,716860,Racing
219300,85020,98640,35850,438720,Fighting
178680,61850,111640,30380,382450,Simulation
118230,56060,48590,12220,235200,Puzzle
99330,40610,61370,16210,217390,Adventure
66710,47630,41970,10440,166720,Strategy
1780,0,530,80,2390,
